productName,productPrice,productRating,productOldPrice,productDiscount,productLink
سامسونج شاشة Amoled للساعة الذكية Fit 3، مقياس التسارع، مقياس الضغط الجوي، مستشعر جيروسكوبي، مستشعر بصري لمعدل ضربات القلب، مستشعر الضوء رمادي,"2,349",4.6,"3,552",خصم 33%,/egypt-ar/fit-3-smartwatch-amoled-display-accelerometer-barometer-gyro-sensor-optical-heart-rate-sensor-light-sensor-gray/N70040525V/p/?o=dbd65d851fd6cd5f
X-Inova MX10 - Luxury Smart Watch 7 Watch Bands Multicolors- Golden Case,965,4.2,"1,500",خصم 35%,/egypt-ar/mx10-luxury-smart-watch-7-watch-bands-multicolors-golden-case/Z25EA76334A22E0B8FC40Z/p/?o=z25ea76334a22e0b8fc40z-1
T800 Ultra ساعة ذكية عالية الدقة تعمل باللمس جهاز تعقب للياقة البدنية SpO2 مراقب معدل ضربات القلب مساعد صوتي توفير الطاقة ووضع الرياضة IP67 مقاوم للماء,358,3.4,650,خصم 44%,/egypt-ar/t800-ultra-smart-watch-hd-touch-screen-fitness-tracker-spo2-heart-rate-monitor-fitness-voice-assistant-power-saving-sports-ip67-waterproof/ZF2AC508B263E8A26C207Z/p/?o=zf2ac508b263e8a26c207z-1
T800 ULTRA (2023) Smart Watch 1.99 Inch IPS display NFC Bluetooth V5 Call Wireless Charger- Space Gray Aluminum Case,370,2.9,900,خصم 58%,/egypt-ar/t800-ultra-2023-smart-watch-1-99-inch-ips-display-nfc-bluetooth-v5-call-wireless-charger-space-gray-aluminum-case/Z20753CEB3A056CD48D6EZ/p/?o=z20753ceb3a056cd48d6ez-1
في & حول ساعة X8 ألترا ماكس الذكية - 49 مم - برتقالي,660,4.0,799,خصم 17%,/egypt-ar/x8-ultra-max-smartwatch-49mm-orange/ZD6CD1509EB7F706F51CFZ/p/?o=zd6cd1509eb7f706f51cfz-1
ساعة  T500 ULTRA بلوتوث ذكية للمكالمات باللمس الكامل مع حزام قابل للاستبدال,340,2.6,700,خصم 51%,/egypt-ar/bluetooth-full-touch-call-smartwatch-t500-ultra-with-replaceable-strap/Z938DEA6C7D7815A0F112Z/p/?o=z938dea6c7d7815a0f112z-1
ساعة ذكية S9 الترا 49 ملم -برتقالي,313,1.4,500,خصم 37%,/egypt-ar/s9-ultra-smartwatch-49mm-orange/Z6A9B32E51D16BA30B67DZ/p/?o=z6a9b32e51d16ba30b67dz-1
هونج كونج ساعة Hk10 ULTRA 3 الذكية - حزامان (سيليكون وقماش) - 49 مم - أسود,"1,099",3.4,"1,199",خصم 8%,/egypt-ar/hk10-ultra-3-smart-watch-2-straps-silicone-and-cloth-49mm-black/Z5FE776E1DF2D2ED2FEA5Z/p/?o=z5fe776e1df2d2ed2fea5z-1
ساعة رياضية ذكية T500 سيريس IP67  مضادة للماء مزودة بجهاز قياس ضغط الدم مع إمكانية عرض الرسائل بخمسة ألوان أسود 300 mAh,340,3.2,690,خصم 50%,/egypt-ar/300-mah-t500-series-5-color-screen-message-reminder-health-monitor-ip67-waterproof-sport-tracker-intelligent-watch-black/N40916305A/p/?o=e92f205aede5f66c
هيواتش برو t900 ultra  الترا  بتقنية مراقبة درجة حرارة الجسم والمكالمات بالبلوتوث مع شحن لاسلكي شاشة HD عالية الدقة تعمل باللمس 2.09بوصة IOS واندرويد للرجال والنساء,388,2.5,450,خصم 13%,/egypt-ar/t900-ultra-big-smart-watch-bluetooth-call-wireless-charging-sport-smartwatch-body-temperature-monitor-call-wireless-charging-touch-screen-2-09-inch-hd-screen-for-ios-android-for-men-and-women/ZAF74FF84F9D6B7060C67Z/p/?o=zaf74ff84f9d6b7060c67z-1
ساعة ذكية  لون أسود | تصميم أنيق ومزايا متقدمة-ميكس,311,3.4,888,خصم 64%,/egypt-ar/smart-watch-black-advanced-features-stylish-design-mix/Z6340EBDA9A1FECCF4AFDZ/p/?o=z6340ebda9a1feccf4afdz-1
جوي روم ساعة ذكية JR-FT3 يمكنها إجراء واستقبال المكالمات، شاشة عالية الدقة مقاس 1.96 بوصة، اتصال بلوتوث، مراقبة اللياقة البدنية، 340 مللي أمبير في الساعة، متوافقة مع أجهزة Apple وAndroid، حزام معدني من السيليكون,"1,200",4.2,"1,336",خصم 10%,/egypt-ar/340-mah-jr-ft3-smart-watch-can-make-and-receive-calls-1-96-inch-hd-screen-bluetooth-connection-fitness-monitoring-340mah-unisex-compatible-with-apple-and-android-metal-silicone-strap-silver/N70091659V/p/?o=bc117250500a84fa
"جوي روم 350 mAh JR-FC1 PRO 1.32” Screen Classic Series Smart Watches for Men & Women Smartwatch with Bluetooth Make/Answer Calls Fitness Modes and Sleep Modes Multi-app Message Reminder and languages Arabic, English Etc Rose Gold","1,599",4.3,"1,695",خصم 5%,/egypt-ar/350-mah-jr-fc1-pro-1-32-screen-classic-series-smart-watches-for-men-women-smartwatch-with-bluetooth-make-answer-calls-fitness-modes-and-sleep-modes-multi-app-message-reminder-and-languages-arabic-english-etc-rose-gold/N70142486V/p/?o=fda1a27dd98be7ad
إنفينيكس الساعة الذكية XW3E,"1,900",4.0,"2,103",خصم 9%,/egypt-ar/300-mah-infinix-xwatch-3-we-smart-watch-ip68-water-resistant-1-43-amoled-with-aod-7-day-battery-200-stylish-watch-faces-multiple-sports-modes-bluetooth-call-support-health-monitoring-fitness-tracking-2-straps-grey/N70090899V/p/?o=fa3d091e8f05b15f
"جوي روم 350 mAh JR-FC1 PRO 1.32” Screen Classic Series Smart Watches for Men & Women Smartwatch with Bluetooth Make/Answer Calls Fitness Modes and Sleep Modes Multi-app Message Reminder and languages Arabic, English Etc - Black/ Space Grey","1,399",5.0,"1,999",خصم 30%,/egypt-ar/350-mah-jr-fc1-pro-1-32-screen-classic-series-smart-watches-for-men-women-smartwatch-with-bluetooth-make-answer-calls-fitness-modes-and-sleep-modes-multi-app-message-reminder-and-languages-arabic-english-etc-black-space-grey/N70142485V/p/?o=a89044c365e361de
سيريز ساعة ذكية T1000 الترا   مراقب معدل ضربات القلب | مكالمات بلوتوث  مراقبة ضغط الدم متوافقة مع اندرويد وiOS  اسود,440,2.6,750,خصم 41%,/egypt-ar/t1000-ultra-smart-watch-heart-rate-monitor-bluetooth-calls-blood-pressure-monitor-compatible-with-android-and-ios-black/ZDBD19A620D2F5BF5D3F9Z/p/?o=zdbd19a620d2f5bf5d3f9z-1
شاومي سوار ذكي 9 | شاشة AMOLED مقاس 1.62 بوصة | شاشة تعمل باللمس، متتبع متعدد الرياضات، متتبع النشاط، مراقب معدل ضربات القلب | عمر بطارية يصل إلى 21 يومًا,"2,666",4.7,"4,999",خصم 46%,/egypt-ar/smart-band-9-1-62-amoled-display-touchscreen-multisport-tracker-activity-tracker-heart-rate-monitor-upto-21-days-battery-life-glacier-silver-glacier-silver/N70101635V/p/?o=c846ba5a62058c5a
هونج كونج ساعة ذكية HK15 Ultra 2 Max بشاشة AMOLED مقاس 49مم وساعة رياضية لتتبع اللياقة البدنية للرجال والنساء | IOS وAndroid | مستشعر راحة اليد والذكاء الاصطناعي Chat GPT | 7 أحزمة,"1,440",Rating not found,"1,600",خصم 10%,/egypt-ar/hk15-ultra-2-max-smart-watch-49mm-amoled-screen-fitness-tracker-sports-watch-for-men-and-women-ios-and-android-palm-sensor-and-artificial-intelligence-chat-gpt-7-straps/Z4E818C6D897E1DC08EFDZ/p/?o=z4e818c6d897e1dc08efdz-1
ساعة ذكية 3 W&O® Little Star X10 Ultra - تقنية WearFIT مع NFC ومساعد صوتي - تتبع صحي وميزة WeChat Pay-اسود,"1,500",Rating not found,Old price not found,No discount available,/egypt-ar/w-o-little-star-x10-ultra-3-smartwatch-wearfit-technology-with-nfc-voice-assistant-health-tracking-wechat-pay-black/ZBA7D8BF7C23505D08E27Z/p/?o=zba7d8bf7c23505d08e27z-1
كيسلكت ساعة المكالمات الذكية Kr2 - أسود - حزام مزدوج - أسود - أسود أصفر,"3,450",5.0,Old price not found,No discount available,/egypt-ar/smart-calling-watch-kr2-black-double-straps-black-black-yellow/Z46392BAAEF2D8186C4F7Z/p/?o=z46392baaef2d8186c4f7z-1
سامسونج ساعة جالاكسي 6 كلاسيك 47 ملم بنظام تحديد المواقع العالمي (GPS) باللون الفضي,"9,345",4.5,"22,666",خصم 58%,/egypt-ar/galaxy-watch-6-classic-47-mm-gps-smartwatch-silver/N53422412A/p/?o=b48a0a41d5d0075c
smart watch T900 Ultra with health fitness tracker and supports the Arabic Language,390,3.0,"1,399",خصم 72%,/egypt-ar/smart-watch-t900-ultra-with-health-fitness-tracker-and-supports-the-arabic-language/ZD810471CE1FC47A14BEFZ/p/?o=zd810471ce1fc47a14befz-1
في & حول ساعه ذكيه X9 ULTRA 2 الاصدار التاسع شاشه  سوبر اموليد - بلوتوث -NFC - جوجل ماب - شات GPT - شاحن لاسلكى أسود,799,2.8,"1,900",خصم 57%,/egypt-ar/x9-ultra-2-series-9-smartwatch-super-amoled-display-open-ai-chat-gpt-gps-nfc-bluetooth-v5-call-wireless-charger-black/ZFC9798ACAF25E153002FZ/p/?o=zfc9798acaf25e153002fz-1
تي 500 ساعة سيريز 5 الذكية لتتبع اللياقة البدنية أسود 300 mAh,333,3.2,550,خصم 39%,/egypt-ar/300-mah-series-5-fitness-tracker-smart-watch-black/N43241182A/p/?o=f573e759cfc06e5a
X8 Ultra ساعة ذكية تتميز بتصميم أنيق بثلاثة أزرار. يحتوي على شاشة ملونة تعمل باللمس بالكامل عريضة للغاية مقاس 2.02 بوصة مع حواف شاشة ضيقة للغاية ودقة فائقة,425,2.9,"1,300",خصم 67%,/egypt-ar/x8-ultra-is-a-smart-watch-with-a-stylish-design-with-three-buttons-it-contains-a-full-touch-color-screen-very-wide-2-02-inches-with-a-very-narrow-and-super-accurate-screen-edges/Z5322EC0787C405728A32Z/p/?o=z5322ec0787c405728a32z-1
ساعة ذكية S9 اللون برتقالي,313,1.9,550,خصم 43%,/egypt-ar/s9-ultra-smart-watch-orange/ZCA13E080F62B6F0F723DZ/p/?o=zca13e080f62b6f0f723dz-1
"هواوي Band 10 Smartwatch, Compatible with iOS Android, Emotional Wellbeing Assistant, Fast Charging And Robust Battery Life, Comfortable Wearing, Pro-Level Sleep Analysis, Pink","2,085",4.6,"2,299",خصم 9%,/egypt-ar/band-10-smartwatch-compatible-with-ios-android-emotional-wellbeing-assistant-fast-charging-and-robust-battery-life-comfortable-wearing-pro-level-sleep-analysis-pink/N70151075V/p/?o=d10e18d3654c0fdd
أورايمو ساعة ذكية Watch 4 Plus مع مكالمات لاسلكية، شاشة عرض بدقة HD بمقاس 2.01 بوصة، تتبع للياقة البدنية مع مراقبة معدل ضربات القلب والنوم وعداد الخطوات، مقاومة للماء بتصنيف IP68، أسود,"1,249",4.3,"2,400",خصم 47%,/egypt-ar/watch-4-plus-bluetooth-call-smart-watch-2-01inch-hd-display-fitness-tracker-with-heart-rate-sleep-monitor-pedometer-ip68-waterproof-black/N70033897V/p/?o=ca2883ce8758d96e
في & حول ساعه ذكيه X9 ULTRA 2 الاصدار التاسع شاشه 2.2 بوصه سوبر اموليد - بلوتوث - NFC - جوجل ماب - شات GPT - شاحن لاسلكى,662,4.2,"3,050",خصم 78%,/egypt-ar/x9-ultra-2-series-9-wearfit-pro-smartwatch-2-2-inch-super-amoled-screen-480x320-unlock-ai-chat-gpt-gps-nfc-bluetooth-v5-call-wireless-charger/ZD25DC82347CB831CF888Z/p/?o=zd25dc82347cb831cf888z-1
في & حول ساعه ذكيه X9 ULTRA 2 الاصدار التاسع شاشه 2.2 بوصه سوبر اموليد - بلوتوث - NFC - جوجل ماب - شات GPT - شاحن لاسلكى,694,4.2,"3,000",خصم 76%,/egypt-ar/x9-ultra-2-series-9-wearfit-pro-smartwatch-2-2-inch-super-amoled-screen-480x320-unlock-ai-chat-gpt-gps-nfc-bluetooth-v5-call-wireless-charger/ZC3EE8F861845F453EEB8Z/p/?o=zc3ee8f861845f453eeb8z-1
هواوي ساعة ذكية Watch Fit 3، شاشة Amoled مقاس 1.82 بوصة، تصميم مريح وأنيق، مدرب تدريب علمي، إدارة صحية محسنة، متوافقة مع iOS وAndroid,"6,200",4.6,"7,399",خصم 16%,/egypt-ar/watch-fit-3-smartwatch-1-82-inch-amoled-display-comfortable-and-stylish-design-scientific-workout-coach-upgraded-health-management-compatible-with-ios-and-android-white/N70060907V/p/?o=eee0ee323e5223ff
أورايمو ساعة ذكية 2R OSW-30 مع حزام سيليكون,"1,249",4.2,Old price not found,No discount available,/egypt-ar/watch-2r-osw-30-smart-watch-with-silicone-strap-black/N70017547V/p/?o=d6d3034bfa24be9c
هواوي ساعة ذكية باند 9، تصميم نحيف للغاية ومريح في الارتداء، تحليل علمي للنوم، عمر بطارية متين، نظام تشغيل IOS وAndroid باللون الأبيض,"2,099",4.7,"2,888",خصم 27%,/egypt-ar/band-9-smart-watch-ultra-thin-design-and-comfortable-wearing-scientific-sleep-analysis-durable-battery-life-ios-and-android-white/N70053123V/p/?o=fb791d73382b79af
ويرفيت برو ساعه ذكيه HK9 ULTRA 2 الاصدار التاسع شاشه 2.12 بوصه سوبر اموليد - بلوتوث - NFC - جوجل ماب - شات GPT - شاحن لاسلكى,952,4.1,"2,999",خصم 68%,/egypt-ar/hk9-ultra-2-series-9-wearfit-pro-2024-smartwatch-2-12-inch-super-amoled-display-480x320-open-ai-chat-gpt-gps-nfc-bluetooth-v5-call-wireless-charger/Z7A7961AE6292BDB18310Z/p/?o=z7a7961ae6292bdb18310z-1
هواوي ساعة ذكية Watch Fit 3، شاشة Amoled مقاس 1.82 بوصة، تصميم مريح وأنيق، مدرب تمرين علمي، إدارة صحية مطورة، متوافقة مع iOS وAndroid,"4,905",4.6,"7,399",خصم 33%,/egypt-ar/watch-fit-3-smartwatch-1-82-inch-amoled-display-comfortable-and-stylish-design-scientific-workout-coach-upgraded-health-management-compatible-with-ios-and-android-green/N70060908V/p/?o=f99db26ea6716cef
في & حول ساعة ذكية X9 Ultra 2 ((Super AMOLED)) بشاشة كاملة (49 ملم / 2.2 بوصة) شاشة كاملة | علبة ألومنيوم فضائية | الشحن اللاسلكي (أسود),659,4.1,"1,200",خصم 45%,/egypt-ar/x9-ultra-2-super-amoled-screen-smart-watch-49mm-2-2inch-full-screen-space-aluminum-case-wireless-charge-black/Z1B633F909B5C642E8DD5Z/p/?o=z1b633f909b5c642e8dd5z-1
سامسونج ساعة جالاكسي 6 الكلاسيكية 47 ملم بنظام تحديد المواقع GPS، جرافيت/أسود,"8,800",4.5,"22,666",خصم 61%,/egypt-ar/galaxy-watch-6-classic-47-mm-gps-smartwatch-graphite-black/N53422411A/p/?o=a87575a50a2c919c
أمازفيت شاشة Pop 3s كبيرة جدًا مقاس 1.96 بوصة HD AMOLED، تصميم منحني ومعدني عصري مع مكالمات هاتفية عبر Bluetooth باللون الأسود,"2,390",4.3,"3,999",خصم 40%,/egypt-ar/pop-3s-ultra-large-1-96-hd-amoled-display-fashionable-curved-metallic-design-with-bluetooth-phone-calls-black/N70062230V/p/?o=b189aa3c91968e2e
T800 Ultra ساعة ذكية عالية الدقة تعمل باللمس جهاز تعقب للياقة البدنية SpO2 مراقب معدل ضربات القلب مساعد صوتي توفير الطاقة ووضع الرياضة IP67 مقاوم للماء,366,3.3,800,خصم 54%,/egypt-ar/t800-ultra-series-8-smart-watch-1-99-inch-ips-display-nfc-bluetooth-v5-call-waterproof-ip67-wireless-charger/Z5F9011FE00ECAA092980Z/p/?o=z5f9011fe00ecaa092980z-1
شاومي سمارت باند 8 جرافيت اسود,"1,666",4.6,"1,999",خصم 16%,/egypt-ar/smart-band-8-bhr7165gl-graphite-black-1-62-amoled-heart-rate-spo-monitor-100-sports-modes-16-day-battery-5atm-water-resistance-graphite-black/N70001553V/p/?o=e308647c0634404d
كاردو ساعات واتش كاردو ساعة Smart Watch أندرويد وIOS ساعة تاتش بلوتوث (للرد واجراء المكالمات) الساعة الذكية آفضل ساعة ذكية CardoO Watch للرجال والنساء (فضى),"1,999",3.9,"3,000",خصم 33%,/egypt-ar/smart-watch-egypt-touch-screen-cardoo-watch-for-men-and-women-heart-rate-waterproof-bluetooth-calls-smart-watch-support-arabic-for-android-and-ios-silver/Z289053C032BC33F602BEZ/p/?o=z289053c032bc33f602bez-1
أمازفيت شاشة Pop 3s كبيرة جدًا مقاس 1.96 بوصة HD AMOLED، تصميم منحني ومعدني عصري مع مكالمات هاتفية عبر البلوتوث باللون الفضي,"2,399",4.3,"3,999",خصم 40%,/egypt-ar/pop-3s-ultra-large-1-96-hd-amoled-display-fashionable-curved-metallic-design-with-bluetooth-phone-calls-silver/N70062227V/p/?o=e61d1464cf509c9e
إكس إينوفا MX10 - أحزمة الساعات الذكية الفاخرة 7 - أسود,965,4.2,"1,500",خصم 35%,/egypt-ar/mx10-luxury-smart-watch-7-watch-bands-black/Z19B96B727BE569A259DAZ/p/?o=z19b96b727be569a259daz-1
جوي روم ساعة ذكية JR-FT5 بقدرة 300 مللي أمبير في الساعة يمكنها إجراء المكالمات والرد عليها، شاشة HD 1.83 بوصة، 80 وضعًا رياضيًا، مراقب اللياقة البدنية، مراقب الصحة، الأكسجين في الدم، ضغط الدم، معدل ضربات القلب، ضغط النوم، تذكير بالرسائل، ساعة ذكية مناسبة للرجال والنساء، ساعة ذكية متوافقة مع Apple Android الهاتف أسود أسود,"1,450",4.1,"1,589",خصم 8%,/egypt-ar/300mah-jr-ft5-fit-life-smart-watch-can-make-and-answer-calls-1-83-inch-hd-screen-80-sports-modes-fitness-monitor-health-monitor-monitor-blood-oxygen-blood-pressure-heart-rate-pressure-sleep-monitoring-message-reminder-smart-watch-suitable-for-men-wom/N53369921A/p/?o=d8a36e57a5e34e8f
هواوي ساعة ذكية Watch Fit 3، شاشة Amoled مقاس 1.82 بوصة، تصميم مريح وأنيق، مدرب تدريب علمي، إدارة صحية محسنة، متوافقة مع iOS Android رمادي,"6,855",4.6,Old price not found,No discount available,/egypt-ar/watch-fit-3-smartwatch-1-82-inch-amoled-display-comfortable-and-stylish-design-scientific-workout-coach-upgraded-health-management-compatible-with-ios-android-grey/N70060909V/p/?o=f213511cd3fc0b7a
أمازفيت ساعة ذكية نشطة مع مدرب تمارين اللياقة البدنية بتقنية الذكاء الاصطناعي، نظام تحديد المواقع العالمي، مكالمات بلوتوث، موسيقى، بطارية تدوم 14 يومًا، شاشة أموليد 1.75 بوصة، أليكسا مدمجة، ساعة لياقة بدنية لأجهزة أندرويد وآيفون أسود منتصف الليل,"4,799",4.2,"7,599",خصم 36%,/egypt-ar/active-smart-watch-with-ai-fitness-exercise-coach-gps-bluetooth-calling-music-14-day-battery-1-75-inch-amoled-display-alexa-built-in-fitness-watch-for-android-and-iphone-midnight-black/N70027867V/p/?o=f7933cf3c30c9dee
جوي روم ساعة ذكية من السلسلة الكلاسيكية يمكنها إجراء المكالمات والرد عليها، متتبع اللياقة البدنية، مراقب معدل ضربات القلب، جودة النوم، ساعة ذكية مستديرة IP68 مقاومة للماء، متوافقة مع هواتف iPhone Android والرجال والنساء، رمادي داكن رمادي داكن,"1,499",4.3,"1,899",خصم 21%,/egypt-ar/classic-series-smart-watch-can-make-and-answer-calls-fitness-tracker-heart-rate-sleep-quality-monitor-round-smart-watch-ip68-waterproof-watch-compatible-with-iphone-android-phone-men-women-dark-grey/N53375133A/p/?o=b7782e6971311fbd
شاومي سمارت باند 8 جولد,"1,499",4.6,"1,999",خصم 25%,/egypt-ar/smart-band-8-bhr7166gl-champagne-gold-1-62-amoled-heart-rate-spo-monitor-100-sports-modes-16-day-battery-5atm-water-resistance-gold/N70001420V/p/?o=c79440ebc845a5bf
جوي روم ساعة ذكية JR-FV1 بقدرة 300 مللي أمبير في الساعة يمكنها إجراء واستقبال المكالمات وشاشة عالية الدقة مقاس 1.43 بوصة واتصال بلوتوث ومراقبة اللياقة البدنية للرجال والنساء متوافقة مع أجهزة Apple وAndroid وحزام سيليكون معدني رمادي فضائي,"2,440",4.4,"3,299",خصم 26%,/egypt-ar/300-mah-300-mah-jr-fv1-smart-watch-can-make-and-receive-calls-1-43-inch-hd-screen-bluetooth-connection-fitness-monitoring-for-men-and-women-compatible-with-apple-and-android-metal-silicone-strap-space-grey/N70052331V/p/?o=d54f96f6dfa8925d
cmf by NOTHING ساعة ذكية Pro مع خاصية الاتصال عبر البلوتوث، وشاشة AMOLED، ومقاومة للماء بدرجة IP68 بلون رمادي فاتح +,"2,799",4.4,Old price not found,No discount available,/egypt-ar/watch-pro-smartwatch-with-bluetooth-calling-amoled-display-ip68-water-resistant-ash-grey-strap-dark-grey/N70030270V/p/?o=c98720db2e6128ab
